filepath,target,duration_s,snr_db
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2q8n8mk2.ingestion-8bc844dc9-9gdvp.wav,normal,10.11201814058957,-0.1341138780117035
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2q8nagl9.ingestion-8bc844dc9-gcb5t.wav,normal,10.11201814058957,-0.04684021696448326
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2q8ncuva.ingestion-8bc844dc9-zdrjt.wav,faulty,10.11201814058957,0.05614612251520157
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2q8ndl7k.ingestion-8bc844dc9-9gdvp.wav,faulty,10.11201814058957,0.22683507204055786
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8ngkdt.ingestion-8bc844dc9-gcb5t.wav,faulty,10.11201814058957,0.08440453559160233
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8nh9g4.ingestion-8bc844dc9-zdrjt.wav,faulty,10.11201814058957,0.044721998274326324
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8nhura.ingestion-8bc844dc9-gcb5t.wav,faulty,10.11201814058957,-0.003432800294831395
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8nikqi.ingestion-8bc844dc9-9gdvp.wav,faulty,10.11201814058957,-0.08017832040786743
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqg6i7t.ingestion-5b6b8dfb4f-5q62p.wav,background_noise,10.11201814058957,0.0756404846906662
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqg77a3.ingestion-5b6b8dfb4f-5q62p.wav,background_noise,10.11201814058957,0.13954651355743408
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqg7sbg.ingestion-5b6b8dfb4f-d6kkk.wav,background_noise,10.11201814058957,0.09021088480949402
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqgafi3.ingestion-5b6b8dfb4f-cqq49.wav,background_noise,21.12,0.04935329779982567
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qshkn5g.ingestion-5b6b8dfb4f-d6kkk.wav,normal,1.0,0.0007304406026378274
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2qsi3v93.ingestion-5b6b8dfb4f-cqq49.wav,normal,21.12,-0.08278587460517883
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsi6t3v.ingestion-5b6b8dfb4f-d6kkk.wav,normal,21.12,-0.014998052269220352
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsi88vo.ingestion-5b6b8dfb4f-5q62p.wav,normal,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsi9it3.ingestion-5b6b8dfb4f-d6kkk.wav,normal,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsiat0n.ingestion-5b6b8dfb4f-cqq49.wav,normal,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsie33u.ingestion-5b6b8dfb4f-cqq49.wav,normal,60.0,-5.17719399795169e-07
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2qsienhj.ingestion-5b6b8dfb4f-cqq49.wav,normal,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsip043.ingestion-5b6b8dfb4f-d6kkk.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsiq99b.ingestion-5b6b8dfb4f-cqq49.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsirhus.ingestion-5b6b8dfb4f-d6kkk.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsisr29.ingestion-5b6b8dfb4f-cqq49.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsitsbp.ingestion-5b6b8dfb4f-d6kkk.wav,faulty,198.05873015873016,5.177193429517501e-07
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsiu8h1.ingestion-5b6b8dfb4f-cqq49.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsivgiq.ingestion-5b6b8dfb4f-5q62p.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsj1dsi.ingestion-5b6b8dfb4f-cqq49.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsj2lmb.ingestion-5b6b8dfb4f-cqq49.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsj4349.ingestion-5b6b8dfb4f-cqq49.wav,faulty,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsj66p9.ingestion-5b6b8dfb4f-5q62p.wav,faulty,198.314693877551,5.177193429517501e-07
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qsj6mi0.ingestion-5b6b8dfb4f-d6kkk.wav,background_noise,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qsj7vbd.ingestion-5b6b8dfb4f-cqq49.wav,background_noise,21.12,0.0
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\background noise.2qsjj947.ingestion-5b6b8dfb4f-cqq49.wav,background_noise,197.88802721088436,0.0
