filepath,target
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2q8n8mk2.ingestion-8bc844dc9-9gdvp.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2q8nagl9.ingestion-8bc844dc9-gcb5t.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2q8ncuva.ingestion-8bc844dc9-zdrjt.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2q8ndl7k.ingestion-8bc844dc9-9gdvp.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8ngkdt.ingestion-8bc844dc9-gcb5t.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8nh9g4.ingestion-8bc844dc9-zdrjt.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8nhura.ingestion-8bc844dc9-gcb5t.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\oil cap off engine inside cabin.2q8nikqi.ingestion-8bc844dc9-9gdvp.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqg6i7t.ingestion-5b6b8dfb4f-5q62p.wav,background_noise
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqg77a3.ingestion-5b6b8dfb4f-5q62p.wav,background_noise
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqg7sbg.ingestion-5b6b8dfb4f-d6kkk.wav,background_noise
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qqgafi3.ingestion-5b6b8dfb4f-cqq49.wav,background_noise
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qshkn5g.ingestion-5b6b8dfb4f-d6kkk.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2qsi3v93.ingestion-5b6b8dfb4f-cqq49.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsi6t3v.ingestion-5b6b8dfb4f-d6kkk.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsi88vo.ingestion-5b6b8dfb4f-5q62p.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsi9it3.ingestion-5b6b8dfb4f-d6kkk.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsiat0n.ingestion-5b6b8dfb4f-cqq49.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\idling.2qsie33u.ingestion-5b6b8dfb4f-cqq49.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\normal engine inside cabin.2qsienhj.ingestion-5b6b8dfb4f-cqq49.wav,normal
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsip043.ingestion-5b6b8dfb4f-d6kkk.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsiq99b.ingestion-5b6b8dfb4f-cqq49.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsirhus.ingestion-5b6b8dfb4f-d6kkk.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsisr29.ingestion-5b6b8dfb4f-cqq49.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsitsbp.ingestion-5b6b8dfb4f-d6kkk.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsiu8h1.ingestion-5b6b8dfb4f-cqq49.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsivgiq.ingestion-5b6b8dfb4f-5q62p.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak engine inside cabin.2qsj1dsi.ingestion-5b6b8dfb4f-cqq49.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsj2lmb.ingestion-5b6b8dfb4f-cqq49.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsj4349.ingestion-5b6b8dfb4f-cqq49.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\air leak.2qsj66p9.ingestion-5b6b8dfb4f-5q62p.wav,faulty
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qsj6mi0.ingestion-5b6b8dfb4f-d6kkk.wav,background_noise
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\Background Noise.2qsj7vbd.ingestion-5b6b8dfb4f-cqq49.wav,background_noise
C:\Users\053458\Desktop\ML\gerion\ai-mechanic-export\training\background noise.2qsjj947.ingestion-5b6b8dfb4f-cqq49.wav,background_noise
